Base Name,Base ID,Table Name
YoBot® Command Center (Live Ops),appRt8V3tH4g5Z51f,Command Center - Metrics Tracker Table
YoBot® Command Center (Live Ops),appRt8V3tH4g5Z51f,Integration QA Tracker Table
YoBot® Command Center (Live Ops),appRt8V3tH4g5Z51f,Integration Test Log Table
YoBot® Command Center (Live Ops),appRt8V3tH4g5Z51f,Completed Integration QA Table
YoBot® Command Center (Live Ops),appRt8V3tH4g5Z51f,Client Instances Table
YoBot® Ops & Alerts Log,appCoAtCZdARb4AM2,SmartSpend™ - Slack Logs Table
YoBot® Ops & Alerts Log,appCoAtCZdARb4AM2,Error + Fallback Log Table
YoBot® Ops & Alerts Log,appCoAtCZdARb4AM2,Event Sync Log Table
YoBot® Ops & Alerts Log,appCoAtCZdARb4AM2,Support Ticket Log Table
YoBot® Ops & Alerts Log,appCoAtCZdARb4AM2,Test Log 2 Table
YoBot® Client CRM,appMbVQJ0n3nlR1lN,Client Bookings Table
YoBot® Client CRM,appMbVQJ0n3nlR1lN,Team Members Table
YoBot® Client CRM,appMbVQJ0n3nlR1lN,Deal Milestones Table
YoBot® Client CRM,appMbVQJ0n3nlR1lN,Quote Generator Logs Table
YoBot® Client CRM,appMbVQJ0n3nlR1lN,CRM Contacts Table
YoBot® Client CRM,appMbVQJ0n3nlR1lN,Rep Assignment Tracker Table
YoBot® Client CRM,appMbVQJ0n3nlR1lN,Invoice Tracking Table
YoBot® Client CRM,appMbVQJ0n3nlR1lN,Support Ticket Summary Table
YoBot® Sales & Automation,appe0OSJtB1In1kn5,Sales Orders Table
YoBot® Sales & Automation,appe0OSJtB1In1kn5,Bot Packages Table
YoBot® Sales & Automation,appe0OSJtB1In1kn5,Add-On Modules Table
YoBot® Sales & Automation,appe0OSJtB1In1kn5,Voice Call Log Table
YoBot® Sales & Automation,appe0OSJtB1In1kn5,QA Call Review Log Table
YoBot® Sales & Automation,appe0OSJtB1In1kn5,VoiceBot Script Tracker Table
YoBot® Sales & Automation,appe0OSJtB1In1kn5,Lead Qualification Tracker Table
YoBot® Sales & Automation,appe0OSJtB1In1kn5,NLP Keyword Tracker Table
YoBot® Sales & Automation,appe0OSJtB1In1kn5,Call Recording Tracker Table
YoBot® Sales & Automation,appe0OSJtB1In1kn5,Call Sentiment Log Table
YoBot® Sales & Automation,appe0OSJtB1In1kn5,Escalation Tracker Table
YoBot® Sales & Automation,appe0OSJtB1In1kn5,Client Touchpoint Log Table
YoBot® Sales & Automation,appe0OSJtB1In1kn5,Missed Call Log Table
YoBot® Sales & Automation,appe0OSJtB1In1kn5,Your A/B Test Log Table
YoBot® Sales & Automation,appe0OSJtB1In1kn5,Slack Alerts Log Table
YoBot® Sales & Automation,appe0OSJtB1In1kn5,Bot Personality Pack Tracker Table
YoBot® Sales & Automation,appe0OSJtB1In1kn5,VoiceBot Performance Dashboard Log Table
YoBot® Sales & Automation,appe0OSJtB1In1kn5,Compliance Checklist Log Table
YoBot® Sales & Automation,appe0OSJtB1In1kn5,Botalytics Monthly Log Table
YoBot® Sales & Automation,appe0OSJtB1In1kn5,File Upload Tracker Table
YoBot® Sales & Automation,appe0OSJtB1In1kn5,Follow-Up Reminder Tracker Table
YoBot® Sales & Automation,appe0OSJtB1In1kn5,PDF Quote Generator Log Table
YoBot® Sales & Automation,appe0OSJtB1In1kn5,Internal Security Checklist Table
YoBot® Sales & Automation,appe0OSJtB1In1kn5,Slack Message Review Tracker Table
YoBot® Sales & Automation,appe0OSJtB1In1kn5,Rep Scorecard Log Table
YoBot® Sales & Automation,appe0OSJtB1In1kn5,Client Add-On Selections Log Table
YoBot® Sales & Automation,appe0OSJtB1In1kn5,Add-On Billing Line Items Table
YoBot® Sales & Automation,appe0OSJtB1In1kn5,Task Template Table
YoBot® Sales & Automation,appe0OSJtB1In1kn5,Voice Call Log
YoBot® Sales & Automation,appe0OSJtB1In1kn5,First Invoice Due
YoBot® Sales & Automation,appe0OSJtB1In1kn5,Invoice ID
YoBot® Sales & Automation,appe0OSJtB1In1kn5,Requested Start Date
YoBot® ROI Calculator,appbFDTqB2WtRN1H,Client ROI Results Table
YoBot® ROI Calculator,appbFDTqB2WtRN1H,Botalytics - ROI Tracker Table
YoBot® ROI Calculator,appbFDTqB2WtRN1H,Logger Integrity Tracker Table
YoBot Lead Engine,appb2F3D77tC4DWla,Scraping Campaigns Table
YoBot Lead Engine,appb2F3D77tC4DWla,Scraped Leads (Universal) Table
YoBot Lead Engine,appb2F3D77tC4DWla,Call Queue Table
YoBot Lead Engine,appb2F3D77tC4DWla,Lead Scraping - Demo Leads Table
YoBot® SmartSpend Tracker (Main),appGtcRZU6QJngkQS,SmartSpend Master Table
YoBot® SmartSpend Tracker (Main),appGtcRZU6QJngkQS,Dashboard Intake Submissions Table
YoBot® SmartSpend Tracker (Main),appGtcRZU6QJngkQS,SmartSpend - Budget & ROI Tracker Table
YoBot® SmartSpend Tracker (Main),appGtcRZU6QJngkQS,Imported Table
YoBot® SmartSpend Tracker (Main),appGtcRZU6QJngkQS,YoBot® Integration + Roadmap Tracker Table
YoBot® SmartSpend Tracker (Main),appGtcRZU6QJngkQS,Go Live Roadmap Table
